Introduction	序章
You carefully select ten of the best apples from the barrel, and pay Hilde a silver piece.	You carefully select ten of the best apples from the barrel, and pay Hilde a silver piece.
"Vegetables are five for a silver.  Would you like to buy some?" 	"Vegetables are five for a silver.  Would you like to buy some?" 
The scales are used to weigh the vegetables. 	The scales are used to weigh the vegetables. 
Ah, fresh air!	Ah, fresh air!
It is but a small stall, used for the daily sale of whatever local produce has not been confiscated by the brigands.	It is but a small stall, used for the daily sale of whatever local produce has not been confiscated by the brigands.
The selection is meagre and the appearance is not of the best, but the aromas are strangely enticing.  A barrel contains some small apples, and there are several types of vegetables on the counter. 	The selection is meagre and the appearance is not of the best, but the aromas are strangely enticing.  A barrel contains some small apples, and there are several types of vegetables on the counter. 
There is no one around.  The markets are closed for the night.	There is no one around.  The markets are closed for the night.
All of the produce has been taken in for the night.	All of the produce has been taken in for the night.
Round stones have been set in the ground to make a walkway. 	Round stones have been set in the ground to make a walkway. 
Square stones make up the walkway. 	Square stones make up the walkway. 
It is a simple but prosperous-looking general store.  It looks like it might provide some staples that would prove useful to a traveler (such as if an adventuring party asks you to join them).  	It is a simple but prosperous-looking general store.  It looks like it might provide some staples that would prove useful to a traveler (such as if an adventuring party asks you to join them).  
You can see very little through the window. 	You can see very little through the window. 
The candelabra looks as though it is made of solid gold. 	The candelabra looks as though it is made of solid gold. 
Only the Shadow knows for sure. 	Only the Shadow knows for sure. 
Looks like solid oak.	Looks like solid oak.
You've looked in there already.	You've looked in there already.
The glowing embers from the fire cast a dim light in the room.	The glowing embers from the fire cast a dim light in the room.
You don't know much about art, but you know what you like... and that's not it. 	You don't know much about art, but you know what you like... and that's not it. 
It's much too high to reach. 	It's much too high to reach. 
The cold, dark eyes of the Gryphon make you feel a bit uncomfortable, especially since it's about ten times larger than any Gryphon you've ever heard of. 	The cold, dark eyes of the Gryphon make you feel a bit uncomfortable, especially since it's about ten times larger than any Gryphon you've ever heard of. 
You're not tall enough to reach it. 	You're not tall enough to reach it. 
The Giant Gryphon has long since departed the world of the living.  It doesn't answer you. 	The Giant Gryphon has long since departed the world of the living.  It doesn't answer you. 
It is a small, beautifully decorated metal box with a hinged lid.	It is a small, beautifully decorated metal box with a hinged lid.
An uncomfortable looking chair.	An uncomfortable looking chair.
The chair seems to be bolted to the floor.  You can't move it. 	The chair seems to be bolted to the floor.  You can't move it. 
It's an overgrown bonsai.	It's an overgrown bonsai.
Even though it's a valuable 50-year-old Sego palm, it's much too big to fit in your pack. 	Even though it's a valuable 50-year-old Sego palm, it's much too big to fit in your pack. 
Inside the safe is a bag of coins containing 50 silvers. 	Inside the safe is a bag of coins containing 50 silvers. 
Oh, my mistake.  There *used* to be 50 silvers in the bag.  It's empty all of a sudden.	Oh, my mistake.  There *used* to be 50 silvers in the bag.  It's empty all of a sudden.
It looks very sturdy, indeed.	It looks very sturdy, indeed.
There is an empty coin bag in the safe.	There is an empty coin bag in the safe.
A solid looking table.	A solid looking table.
There is an ornately carved box sitting atop the oak table.	There is an ornately carved box sitting atop the oak table.
You forgot to bring the moving van.	You forgot to bring the moving van.
Over the safe is a charming portrait of the Sheriff and his wife.	Over the safe is a charming portrait of the Sheriff and his wife.
The people who own this house must have some money.  Everything looks new and there is not a speck of dust visible. 	The people who own this house must have some money.  Everything looks new and there is not a speck of dust visible. 
The room smells vaguely of sauerkraut and bratwurst, with just a faint odor of smoke from pinewood.  From somewhere in the house you can hear someone snoring.  	The room smells vaguely of sauerkraut and bratwurst, with just a faint odor of smoke from pinewood.  From somewhere in the house you can hear someone snoring.  
Gently and stealthily, you lift the lid on the little box.	Gently and stealthily, you lift the lid on the little box.
As the little music box begins to play, you hear the Sheriff yell out: "Otto, stop playing with that music box and GO TO BED!" 	As the little music box begins to play, you hear the Sheriff yell out: "Otto, stop playing with that music box and GO TO BED!" 
Boy, did YOU make a mistake!	Boy, did YOU make a mistake!
That was close!  The goon must've been so dumb or sleepy or both that he didn't even see you standing there. 	That was close!  The goon must've been so dumb or sleepy or both that he didn't even see you standing there. 
You take the vase carefully from the mantle and place it gently on the floor.	You take the vase carefully from the mantle and place it gently on the floor.
As you reach toward the painting...	As you reach toward the painting...
From somewhere upstairs, you hear the Sheriff shout:  "Otto!" 	From somewhere upstairs, you hear the Sheriff shout:  "Otto!" 
Obviously, you shouldn't have done that!	Obviously, you shouldn't have done that!
By lifting the painting, you can see what certainly must be a safe, hidden in the wall.	By lifting the painting, you can see what certainly must be a safe, hidden in the wall.
In the desk drawers is an assortment of mostly worthless objects, but you also find three silvers, which you take. 	In the desk drawers is an assortment of mostly worthless objects, but you also find three silvers, which you take. 
